REQUESTED_FRE_ID;PHOTONIC_SERVICE_ID;FREQUENCY;WIDTH;WAVELENGTH;CHANNEL
-4203640467414382450;-2179690885883656951-snc::controlPlane;195.587500;59.000;;
-4203640467414382450;;;;;
-4203640467414382450;;;;;
-4203640467414382450;;;;;
-4203640467414382450;;;;;
-4203640467414382450;-9090545115367141883;193.850000;37.5;1546.52;CH-42
-4203640467414382450;3788582245418993392;192.900000;37.5;1554.13;CH-61
-4203640467414382450;4942645699981026196-snc::controlPlane;192.950000;37.500;1553.73;CH-60
-4203640467414382450;-4689329977446562738;193.900000;37.500;1546.12;CH-41
-4203640467414382450;-9177426960902393720-snc::controlPlane;193.600000;37.500;1548.51;CH-47
-4203640467414382450;;;;;
-4203640467414382450;;;;;
-4373598137077956487;-5757411563800730252-snc::controlPlane;195.100000;101.800;1536.61;CH-17
-4373598137077956487;5125166179161529183-snc::controlPlane;193.950000;101.800;1545.72;CH-40
-4373598137077956487;5465984141894503877;193.500000;37.5;1549.32;CH-49
-4373598137077956487;-9194228447592094126-snc::controlPlane;194.900000;101.800;1538.19;CH-21
-4373598137077956487;;;;;
-4373598137077956487;;;;;
-4373598137077956487;;;;;
-4373598137077956487;;;;;
-4373598137077956487;;;;;
-4373598137077956487;;;;;
-4373598137077956487;-7680953685521415245-snc::controlPlane;194.100000;37.500;1544.53;CH-37
-4373598137077956487;-8119104533744765408-snc::controlPlane;193.800000;37.500;1546.92;CH-43
-4373598137077956487;5695573279035517209-snc::controlPlane;192.300000;37.500;1558.98;CH-73
-4381972122814726766;-8243973046581004167-snc::controlPlane;192.550000;59.000;1556.96;CH-68
-4381972122814726766;2343816892306886023;196.050000;37.5;1529.16;CH-94
-4381972122814726766;;;;;
-4381972122814726766;4011116753171550191-snc::controlPlane;193.337500;59.000;;
-4381972122814726766;;;;;
-4381972122814726766;;;;;
-4381972122814726766;-2995634562745402262;196.100000;37.5;1528.77;CH-93
-4381972122814726766;4545413272986005737;195.750000;37.5;1531.51;CH-4
-4381972122814726766;-6607602561722026802;191.850000;37.5;1562.64;CH-82
-4381972122814726766;6473694106598191665;195.200000;37.5;1535.82;CH-15
-4381972122814726766;6138304434621367776-snc::controlPlane;192.700000;37.500;1555.75;CH-65
-4381972122814726766;-1375190648651190601;193.150000;37.5;1552.12;CH-56
-4381972122814726766;;;;;
-4381972122814726766;5922782591996576539;195.150000;37.5;1536.22;CH-16
-4381972122814726766;-7555573495072432143-snc::controlPlane;195.968750;101.800;;
-4400889876882883689;;;;;
-4400889876882883689;-6335071299142812468;195.400000;37.5;1534.25;CH-11
-4400889876882883689;6874731207834118473-snc::controlPlane;196.087500;37.500;;
-4400889876882883689;;;;;
-4400889876882883689;6441428408112488886;193.300000;37.5;1550.92;CH-53
-4400889876882883689;-8832444057281726131-snc::controlPlane;195.550000;59.000;1533.07;CH-8
-4400889876882883689;9038606849305190295-snc::controlPlane;193.200000;37.500;1551.72;CH-55
-4400889876882883689;4605396676815691798-snc::controlPlane;191.950000;37.500;1561.83;CH-80
-4400889876882883689;-415940517515033670;195.200000;37.5;1535.82;CH-15
-4400889876882883689;2886311064373298057;195.300000;37.5;1535.04;CH-13
-4400889876882883689;6905522341586685944-snc::controlPlane;195.850000;101.800;1530.72;CH-2
-4400889876882883689;5023027271737781951;195.350000;37.5;1534.64;CH-12
-4400889876882883689;1408628611394293437;193.500000;37.500;1549.32;CH-49
-4400889876882883689;-4651170889898275739;195.250000;37.5;1535.43;CH-14
-4400889876882883689;;;;;
-4400889876882883689;;;;;
-4400889876882883689;-7231239132366988608;195.150000;37.5;1536.22;CH-16
-4400889876882883689;6963215757405218308;194.900000;37.5;1538.19;CH-21
-4400889876882883689;;;;;
-5225853233919741832;-3005198451550053945-snc::controlPlane;195.850000;101.800;1530.72;CH-2
-5225853233919741832;4444269087373014910;195.400000;37.5;1534.25;CH-11
-5225853233919741832;-649850768194184227;196.100000;37.5;1528.77;CH-93
-5225853233919741832;-1496200477267385155-snc::controlPlane;193.050000;37.500;1552.93;CH-58
-5225853233919741832;;;;;
-5225853233919741832;75140774914706893;195.300000;37.5;1535.04;CH-13
-5225853233919741832;;;;;
-5225853233919741832;-3729601293931930452;195.350000;37.5;1534.64;CH-12
